pair,ticker_y,ticker_x,direction,entry_date,exit_date,entry_zscore,exit_zscore,entry_equity,exit_equity,holding_days,gross_return,transaction_cost,slippage_cost,borrow_cost,total_cost,net_return,maximum_adverse_excursion,maximum_favorable_excursion,exit_reason
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,short_spread,2023-03-28,2023-04-18,1.3793756396944081,-0.022594593857448806,101243.988501364,104041.14677982191,13,0.028680488965928452,52.05701329922041,20.822805319688165,33.23337803272893,106.11319665163751,0.027627894948254017,0.0,0.0283477383651094,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,short_spread,2023-04-27,2023-06-12,1.6681396473728813,0.9013929613712075,104657.6260155191,103589.99696471817,29,-0.008757812793677933,51.83128037862412,20.732512151449647,76.84446547215141,149.40825800222518,-0.010201158687113354,-0.04173857044675866,0.0,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,short_spread,2023-07-21,2023-08-04,2.2607160963796424,-0.3026840103490303,103660.88684153122,105717.76333327084,10,0.020804423925723015,52.89590880279737,21.15836352111895,25.37496346603439,99.42923578995071,0.01984235862156969,0.0,0.020556748345411435,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,long_spread,2023-09-21,2023-10-04,-2.462684651711884,0.15526601292833897,105222.77037709019,107787.44281862068,9,0.025519298894660647,53.93147344071885,21.57258937628754,44.25191508594965,119.75597790295603,0.02437373994563563,-0.0006664688518287498,0.025091303858336245,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,long_spread,2023-10-19,2024-01-11,-1.4552038886436403,-0.4662571849872866,109235.82889903343,104837.18200776954,57,-0.03677394200005557,52.45530972068926,20.982123888275705,314.5387313096441,387.9761649186091,-0.040267437301451436,-0.04921179229231776,0.01645859418420348,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,long_spread,2024-02-08,2024-02-09,-3.9136658812031557,-3.7276802975582606,104379.55099111101,104306.48530541723,1,0.0,52.18977549555551,20.875910198222204,0.0,73.06568569377771,-0.0007000000000000339,-0.0007000000000000339,0.0,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,long_spread,2024-02-12,2024-02-14,-3.233587605748183,-2.92521347734626,104192.68850882413,103045.71205454967,2,-0.010263102928936951,51.55894729037811,20.623578916151242,5.453641459182311,77.63616766571165,-0.011008224000068068,-0.011008224000068068,0.0,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,long_spread,2024-02-15,2024-03-18,-2.449052209961185,-0.10249321454622623,103151.60572736003,104840.57608416653,22,0.01820328770165469,52.457007947646616,20.982803179058646,113.33182032287195,186.77163144957723,0.016373670045143784,-0.010512258165672805,0.0170856299861335,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,short_spread,2024-04-25,2024-04-26,3.8452284285622422,3.6025885311820023,102946.63776355189,102874.5751171174,1,0.0,51.473318881775945,20.58932755271038,0.0,72.06264643448633,-0.0006999999999999229,-0.0006999999999999229,0.0,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,short_spread,2024-04-29,2024-04-30,3.569847104572813,3.138610333900736,101986.50738189365,101915.11682672633,1,0.0,50.99325369094683,20.397301476378733,0.0,71.39055516732556,-0.0006999999999999229,-0.0006999999999999229,0.0,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,short_spread,2024-05-02,2024-07-03,2.9258817977686427,0.4999038139823282,101642.76411638064,102926.93269774405,41,0.014439050935592723,51.499516010079084,20.599806404031632,110.50979236691632,182.60911478102702,0.012634136748713276,-0.005896945943345333,0.013712167446827017,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,long_spread,2024-08-06,2024-09-16,-2.0267267159885582,-0.024776878791044066,103181.69205809654,102595.98915850198,29,-0.003520335005435138,51.333928329081346,20.53357133163254,149.13508229787854,221.00258195859243,-0.005676422705539141,-0.022013089542397446,0.0,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,long_spread,2024-10-24,2024-10-25,-5.391896086680478,-5.0671864598356215,101931.61871026925,101860.26657717205,1,0.0,50.965809355134624,20.38632374205385,0.0,71.35213309718847,-0.000700000000000145,-0.000700000000000145,0.0,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,long_spread,2024-10-28,2024-10-29,-3.8502295990947357,-3.1351919554923926,102095.42932240489,102023.9625218792,1,0.0,51.04771466120245,20.41908586448098,0.0,71.46680052568342,-0.0007000000000000339,-0.0007000000000000339,0.0,normal_exit
SEB-A.ST/SHB-A.ST,SEB-A.ST,SHB-A.ST,long_spread,2024-10-30,2024-12-30,-2.9543052686929,-0.9402631264298984,102037.99929634866,100033.44922060787,40,-0.017589451908865295,0.0,0.0,211.74276463861563,211.74276463861563,-0.019645133083402322,-0.03224413859113673,0.0054165264226120335,end_of_test_period
