transaction_cost_bps,slippage_bps,annual_borrow_cost,total_return,annualized_return,sharpe_ratio,maximum_drawdown,final_equity,total_cost,number_of_trades,is_baseline
10.0,2.0,0.0,-0.0030739356858607847,0.00012151547486149994,0.0021523626142940047,-0.1124726140273904,99692.60643141392,3599.643991287797,0,False
10.0,2.0,0.02,-0.014078272070944697,-0.005162390706017206,-0.09167659121099878,-0.11951977881992726,98592.17279290553,4722.886830994093,0,False
10.0,2.0,0.05,-0.030358380551818942,-0.013036159159339422,-0.2323841307869377,-0.12998638055260525,96964.1619448181,6384.733502859769,0,False
10.0,2.0,0.1,-0.05689913163425697,-0.02602140833295752,-0.466701749590876,-0.14715661337692776,94310.08683657431,9094.207798264662,0,False
10.0,5.0,0.0,-0.011720390269802539,-0.004022684084459716,-0.07128658753833406,-0.11779651338163455,98827.96097301974,4480.807075979174,0,False
10.0,5.0,0.02,-0.022629470782717154,-0.009284781840681156,-0.1649628564147184,-0.12480152345669726,97737.05292172829,5594.354509673296,0,False
10.0,5.0,0.05,-0.038768651367623974,-0.017126051801211073,-0.30543535062018873,-0.1352055143448555,96123.1348632376,7241.856459674732,0,False
10.0,5.0,0.1,-0.06507964388788956,-0.030057702914404127,-0.5393456809909613,-0.1522730308595548,93492.03561121105,9927.942353365059,0,False
10.0,10.0,0.0,-0.0259704873603952,-0.010891708217596552,-0.19301197112079363,-0.12660231975869718,97402.95126396048,5933.045033095183,0,False
10.0,10.0,0.02,-0.03672257459314876,-0.016117657647870542,-0.28635899771824774,-0.13353760382813984,96327.74254068513,7030.612887933843,0,False
10.0,10.0,0.05,-0.052629488910254985,-0.023905060079780993,-0.4263278523998209,-0.1438380332780761,94737.0511089745,8654.472446001144,0,False
10.0,10.0,0.1,-0.07856181163365761,-0.03674787032240623,-0.6593737804736267,-0.1607356519864207,92143.81883663424,11302.010526138853,0,False
20.0,0.0,0.0,-0.0259704873603952,-0.010891708217596552,-0.1930119711208011,-0.12660231975869685,97402.95126396048,5933.045033095181,0,False
20.0,0.0,0.02,-0.03672257459314887,-0.016117657647870542,-0.28635899771824974,-0.13353760382813962,96327.74254068511,7030.612887933841,0,False
20.0,0.0,0.05,-0.05262948891025532,-0.023905060079780993,-0.4263278523998225,-0.1438380332780761,94737.05110897447,8654.472446001142,0,False
20.0,0.0,0.1,-0.0785618116336575,-0.03674787032240623,-0.65937378047363,-0.1607356519864207,92143.81883663425,11302.010526138856,0,False
20.0,2.0,0.0,-0.03161479974562087,-0.013626087278647447,-0.24139984022594768,-0.13010120807945613,96838.52002543792,6508.263045020585,0,False
20.0,2.0,0.02,-0.04230470240477924,-0.018837646728614543,-0.33458954935908347,-0.13700878678246908,95769.52975952208,7599.501307043538,0,False
20.0,2.0,0.05,-0.0581196167652841,-0.026603605495880145,-0.47431862151838394,-0.14726806649159319,94188.03832347158,9213.995993788933,0,False
20.0,2.0,0.1,-0.08390194960717168,-0.03941104984187793,-0.7069552661546271,-0.16409817697745244,91609.80503928283,11846.265091836374,0,False
20.0,5.0,0.0,-0.04002209764642484,-0.017713544987413732,-0.3135884964302596,-0.13532458322017382,95997.79023535752,7365.061927152757,0,False
20.0,5.0,0.02,-0.05061937406609274,-0.022903593432530456,-0.4065154646596644,-0.14219080093913572,94938.06259339073,8446.8718870325,0,False
