Date,SEB-A.ST,SHB-A.ST,AZN.ST,ERIC-B.ST,SAND.ST
2018-01-02,56.76561737060547,54.65658187866211,561.6561889648438,42.71364974975586,113.25566101074219
2018-01-03,56.836265563964844,54.026119232177734,566.5658569335938,42.94962692260742,115.53413391113281
2018-01-04,57.790016174316406,54.947566986083984,565.583984375,43.106956481933594,117.41976165771484
2018-01-05,58.23744583129883,55.3840446472168,569.217041015625,43.62612533569336,118.4804458618164
2018-01-08,58.46117401123047,55.796268463134766,569.217041015625,43.657588958740234,120.09107208251953
2018-01-09,59.72694396972656,56.960205078125,573.2427368164062,44.06664276123047,120.16963195800781
2018-01-10,60.16849136352539,57.3724365234375,565.4857788085938,43.50025939941406,119.85535430908203
2018-01-11,59.93299865722656,56.86321258544922,564.1111450195312,43.956512451171875,121.15177154541016
2018-01-12,59.72694396972656,56.4752311706543,565.9765625,44.4284782409668,120.99459838867188
2018-01-15,59.432586669921875,55.96602249145508,565.1912231445312,44.33409118652344,122.29097747802734
2018-01-16,59.285404205322266,55.82052230834961,556.3538818359375,44.050899505615234,121.78026580810547
2018-01-17,59.16765213012695,55.869014739990234,551.7389526367188,45.48255157470703,122.1731185913086
2018-01-18,59.5208854675293,56.30549240112305,552.2297973632812,46.01746368408203,122.8802261352539
2018-01-19,58.87328338623047,56.0145149230957,558.51416015625,46.06465530395508,125.04084777832031
2018-01-22,60.25680160522461,56.86321258544922,562.8345336914062,45.057769775390625,125.08016204833984
2018-01-23,59.66807556152344,57.081451416015625,568.9224243164062,44.90046310424805,124.53015899658203
2018-01-24,59.37370300292969,56.741966247558594,560.1834106445312,44.4284782409668,123.94087982177734
2018-01-25,58.08438491821289,55.67502975463867,556.5501708984375,42.94962692260742,123.86233520507812
2018-01-26,58.93216323852539,56.111507415771484,564.8965454101562,42.50912094116211,123.35163879394531
2018-01-29,58.991024017333984,56.13575744628906,562.1470947265625,43.24854278564453,121.74101257324219
2018-01-30,58.42584228515625,55.529544830322266,555.3720092773438,43.81491470336914,121.3088607788086
2018-01-31,58.60247039794922,55.6022834777832,542.9016723632812,39.80313491821289,121.89814758300781
2018-02-01,59.5208854675293,56.25699234008789,542.9999389648438,41.0145378112793,120.40533447265625
2018-02-02,58.93216323852539,55.94176483154297,558.4160766601562,42.32032775878906,117.77333068847656
2018-02-05,57.27192306518555,55.23855209350586,540.1524047851562,40.58976745605469,115.53413391113281
2018-02-06,55.034751892089844,53.73513412475586,522.0849609375,39.441287994384766,114.04134368896484
2018-02-07,56.56544876098633,54.2201042175293,532.19873046875,41.23478698730469,118.28400421142578
2018-02-08,55.80009460449219,53.49264144897461,544.2763061523438,40.55830001831055,114.90558624267578
2018-02-09,55.31733703613281,52.765174865722656,529.7438354492188,40.73135757446289,113.29495239257812
2018-02-12,55.56460189819336,53.20166015625,539.072265625,41.297725677490234,114.47344970703125
2018-02-13,55.02298355102539,53.78362274169922,535.4390869140625,41.549434661865234,113.56993865966797
2018-02-14,56.63610076904297,55.43254089355469,537.8939208984375,41.73822784423828,114.31631469726562
2018-02-15,56.73029327392578,55.82052230834961,526.4127807617188,42.27313232421875,114.90558624267578
2018-02-16,57.26015853881836,56.35398864746094,529.3658447265625,42.54058837890625,116.39836120605469
2018-02-19,57.57807159423828,56.69346618652344,525.6253051757812,42.06861114501953,115.57341003417969
2018-02-20,57.93131637573242,56.402488708496094,533.9920654296875,43.059757232666016,118.4804458618164
2018-02-21,58.07261276245117,56.59648513793945,541.9650268554688,43.122684478759766,118.79470825195312
2018-02-22,57.542747497558594,55.990257263183594,540.7838134765625,42.94962692260742,119.6982192993164
2018-02-23,57.37789535522461,56.0145149230957,541.177490234375,44.00370407104492,118.91255950927734
2018-02-26,57.554527282714844,55.796268463134766,546.5911865234375,44.55433654785156,119.5018081665039
2018-02-27,58.11970901489258,55.21430206298828,547.08349609375,44.5858039855957,120.87675476074219
2018-02-28,57.648719787597656,55.3840446472168,545.0164184570312,43.86211013793945,121.38746643066406
2018-03-01,57.29547882080078,55.57802963256836,539.307373046875,42.66645050048828,118.833984375
2018-03-02,56.118003845214844,54.05036926269531,540.3900756835938,42.304595947265625,113.68777465820312
2018-03-05,56.329952239990234,54.341339111328125,548.0677490234375,43.70479965209961,114.78775024414062
2018-03-06,56.57722473144531,54.72932815551758,546.4927978515625,43.86211013793945,115.8091049194336
2018-03-07,57.22483825683594,55.57802963256836,544.8195190429688,43.6733283996582,114.9841537475586
2018-03-08,58.01373291015625,56.35398864746094,550.7254028320312,44.53860855102539,117.22334289550781
2018-03-09,57.731136322021484,56.25699234008789,546.0992431640625,44.79033660888672,118.28400421142578
2018-03-12,57.96662521362305,56.547977447509766,549.1505737304688,44.63300704956055,117.8125991821289
2018-03-13,57.05998992919922,56.208492279052734,548.7567749023438,44.12955856323242,117.02693939208984
