rank,ticker_y,ticker_x,training_cointegration_pvalue,training_adf_pvalue,training_half_life,training_score,training_hedge_ratio,test_total_return,test_annualized_return,test_sharpe_ratio,test_maximum_drawdown,test_number_of_entries,test_total_costs
1,SEB-A.ST,DNB.OL,0.010132984055350321,0.0020917158185204078,34.601011745522094,9.131032717863313,0.6182440275363198,0.017394486788981478,0.009988495305198075,0.12588934302074317,-0.09405870088766388,12,1663.1430139697582
2,MOWI.OL,DSV.CO,0.018227836848145447,0.004098659482813571,58.165178483365004,8.56253968073083,0.041007680136212935,0.05005125121491294,0.026749482534027758,0.22267419038899025,-0.15144806919113518,12,1622.1321002636205
3,MOWI.OL,MAERSK-B.CO,0.017896038961545686,0.004008988346989765,54.68657361500956,8.553317108925638,0.004340317135444525,-0.05187878338718288,-0.011175206174258157,-0.07993393056700025,-0.15602776790244643,14,1787.530001461406
4,INDU-C.ST,SKF-B.ST,0.019935059923941643,0.00455031953079393,52.22605877162591,8.403983602046466,1.528317949981309,0.012174644380694044,0.008569021910603158,0.09812660591991477,-0.12280941025975223,12,1684.220720968627
5,MOWI.OL,WRT1V.HE,0.02856439163910562,0.006891566606791186,74.87125042223968,8.114744588287357,-2.842965482014333,-0.23323663131162753,-0.08631674255886523,-0.5171602411407575,-0.3310313004002591,10,1243.9351527961962
