window_id,train_start,train_end,test_start,test_end,ticker_y,ticker_x,training_rank,training_score,training_cointegration_pvalue,training_adf_pvalue,training_half_life,test_total_return,test_annualized_return,test_sharpe_ratio,test_maximum_drawdown,test_number_of_entries,test_total_costs
0,2018-01-02,2019-12-23,2019-12-27,2020-03-26,MAERSK-B.CO,NOKIA.HE,1.0,9.912642750912177,0.0014206292933588009,0.00023597696155386612,10.247388935579993,0.0,0.0,0.0,0.0,0,0.0
0,2018-01-02,2019-12-23,2019-12-27,2020-03-26,MOWI.OL,WRT1V.HE,2.0,9.683337075548057,0.0016929156628096476,0.0002857599859699427,10.460913964470464,0.0,0.0,0.0,0.0,0,0.0
0,2018-01-02,2019-12-23,2019-12-27,2020-03-26,HEXA-B.ST,SKF-B.ST,3.0,8.860099059248927,0.0031891752412174803,0.0005735989418994764,12.906416949082404,0.0,0.0,0.0,0.0,0,0.0
1,2018-04-03,2020-03-26,2020-03-27,2020-06-26,INDU-C.ST,KNEBV.HE,1.0,12.050026112219825,0.000297052063724445,4.4485267977292874e-05,15.090748382678338,0.0,0.0,0.0,0.0,0,0.0
1,2018-04-03,2020-03-26,2020-03-27,2020-06-26,SEB-A.ST,OUT1V.HE,2.0,11.882995073137419,0.0003815025354125785,5.8404657843811514e-05,31.94374239885765,0.0,0.0,0.0,0.0,0,0.0
1,2018-04-03,2020-03-26,2020-03-27,2020-06-26,DNB.OL,KNEBV.HE,,,,,,,,,,0,0.0
2,2018-07-02,2020-06-26,2020-06-29,2020-09-23,AZN.ST,WRT1V.HE,1.0,8.895205473699662,0.003216459350114653,0.0005827057517927193,18.241091391712455,0.0,0.0,0.0,0.0,0,0.0
2,2018-07-02,2020-06-26,2020-06-29,2020-09-23,INDU-C.ST,TEL2-B.ST,2.0,8.529854466171422,0.0040375184131931675,0.0007599047403084748,12.7842652525457,0.0,0.0,0.0,0.0,0,0.0
2,2018-07-02,2020-06-26,2020-06-29,2020-09-23,DSV.CO,KNEBV.HE,3.0,8.43684706634688,0.004230994877061202,0.0007907548601411656,10.077393592549996,0.0,0.0,0.0,0.0,0,0.0
3,2018-09-27,2020-09-23,2020-09-24,2020-12-21,HEXA-B.ST,NESTE.HE,1.0,10.512033175275329,0.000922997939121583,0.00014557822813288736,11.253107103514576,0.0,0.0,0.0,0.0,0,0.0
3,2018-09-27,2020-09-23,2020-09-24,2020-12-21,AZN.ST,WRT1V.HE,2.0,10.034923787143825,0.0013501836520712835,0.00022339227274996212,15.177762686325023,-0.02808479818830356,-0.10628132994021344,-2.0,-0.02808479818830356,1,70.0
3,2018-09-27,2020-09-23,2020-09-24,2020-12-21,HEXA-B.ST,VWS.CO,3.0,9.357149266367141,0.002179344693824179,0.0003737914803281878,12.043051723478255,0.0036111797644815535,0.015887265597434252,0.30200857060114666,-0.01900713484736216,1,70.0
4,2018-12-28,2020-12-21,2020-12-22,2021-03-24,HEXA-B.ST,NESTE.HE,1.0,9.516110487026998,0.0019217187105587848,0.000329407791958038,10.722399397143358,-0.002879084760211259,-0.011626717719314672,-1.671723962273583,-0.0034185403910377277,1,70.0
4,2018-12-28,2020-12-21,2020-12-22,2021-03-24,AZN.ST,WRT1V.HE,2.0,8.983303612213357,0.0029595951242701157,0.0005296419801045716,15.57506202217078,0.0,0.0,0.0,0.0,0,0.0
4,2018-12-28,2020-12-21,2020-12-22,2021-03-24,FORTUM.HE,KEMIRA.HE,3.0,8.812985887214168,0.0032478533489233236,0.000588183390833534,10.769146734864568,-0.005996999410180726,-0.024112371305852753,-2.6950256288851038,-0.005996999410180726,1,70.0
5,2019-03-29,2021-03-24,2021-03-25,2021-06-24,CARL-B.CO,KEMIRA.HE,,,,,,,,,,0,0.0
5,2019-03-29,2021-03-24,2021-03-25,2021-06-24,DNB.OL,FORTUM.HE,2.0,7.819253143932866,0.006753756212765047,0.0013353737852190664,11.19467508218484,0.0,0.0,0.0,0.0,0,0.0
5,2019-03-29,2021-03-24,2021-03-25,2021-06-24,ORK.OL,TGS.OL,3.0,7.308869849005724,0.011191246456188336,0.002025297412508644,21.611557711336808,0.0,0.0,0.0,0.0,0,0.0
6,2019-07-01,2021-06-24,2021-06-25,2021-09-21,MOWI.OL,WRT1V.HE,1.0,9.642855371069839,0.00175063513030647,0.00029569800797074494,10.609505042535702,-0.003962005084350406,-0.014901348515592105,-0.3149393092615113,-0.018331108318704215,1,70.0
6,2019-07-01,2021-06-24,2021-06-25,2021-09-21,TEL2-B.ST,NESTE.HE,2.0,8.96036263035103,0.0029786975811607864,0.0005349058321749297,13.869279006339147,0.0,0.0,0.0,0.0,0,0.0
6,2019-07-01,2021-06-24,2021-06-25,2021-09-21,EQNR.OL,FORTUM.HE,3.0,8.775111180806748,0.0033217890677442437,0.0006030266563558597,10.419179496104409,0.0,0.0,0.0,0.0,0,0.0
7,2019-09-26,2021-09-21,2021-09-22,2021-12-17,ORK.OL,MOWI.OL,1.0,6.682346710654851,0.015496364613830704,0.0034372742419117846,10.102054709885117,0.0,0.0,0.0,0.0,0,0.0
7,2019-09-26,2021-09-21,2021-09-22,2021-12-17,ORK.OL,OUT1V.HE,2.0,6.638386192333858,0.01607863798681818,0.003569083804999867,11.044145238891373,0.0,0.0,0.0,0.0,0,0.0
7,2019-09-26,2021-09-21,2021-09-22,2021-12-17,ORK.OL,FORTUM.HE,3.0,6.553625027252557,0.017113898984880502,0.0038455269404662623,11.227881409726333,0.0,0.0,0.0,0.0,0,0.0
8,2019-12-27,2021-12-17,2021-12-20,2022-03-18,MOWI.OL,OUT1V.HE,1.0,9.149231302778412,0.0025424637100595867,0.0004479780923928034,11.799760561800838,0.0,0.0,0.0,0.0,0,0.0
8,2019-12-27,2021-12-17,2021-12-20,2022-03-18,MOWI.OL,WRT1V.HE,2.0,8.215729810184838,0.00503635475233536,0.0009625958415332948,11.040641894627312,0.0,0.0,0.0,0.0,0,0.0
8,2019-12-27,2021-12-17,2021-12-20,2022-03-18,TGS.OL,NOKIA.HE,3.0,7.70773288095234,0.009135232429424761,0.0015381886618069049,32.31816904476405,-0.005622067477454418,-0.022592890272442934,-2.0160645150967413,-0.005622067477454418,1,70.0
9,2020-03-27,2022-03-18,2022-03-21,2022-06-20,ERIC-B.ST,SKF-B.ST,1.0,11.334747459404586,0.0005086216660393616,7.697945719133913e-05,13.491202339699035,0.0,0.0,0.0,0.0,0,0.0
9,2020-03-27,2022-03-18,2022-03-21,2022-06-20,OUT1V.HE,UPM.HE,2.0,7.02514368672065,0.012301439383592681,0.0026339376922831746,12.766104601784132,0.0,0.0,0.0,0.0,0,0.0
9,2020-03-27,2022-03-18,2022-03-21,2022-06-20,TGS.OL,SAMPO.HE,3.0,6.511382316175444,0.017950052883645005,0.004084383423662596,13.764028611437974,0.0,0.0,0.0,0.0,0,0.0
10,2020-06-29,2022-06-20,2022-06-21,2022-09-15,ERIC-B.ST,SKF-B.ST,1.0,9.298986196842234,0.00238862452951671,0.0004186204112489329,17.710237404063182,0.0,0.0,0.0,0.0,0,0.0
10,2020-06-29,2022-06-20,2022-06-21,2022-09-15,SHB-A.ST,SAMPO.HE,2.0,6.4412198483240894,0.020191243383860955,0.004501549990417216,20.59080534268804,0.0,0.0,0.0,0.0,0,0.0
10,2020-06-29,2022-06-20,2022-06-21,2022-09-15,OUT1V.HE,UPM.HE,3.0,5.891907984778529,0.028369520341206936,0.00692127514557132,13.779808523632964,-0.024399076023296495,-0.09492644598498334,-2.733576409171828,-0.024399076023296495,1,70.0
11,2020-09-24,2022-09-15,2022-09-16,2022-12-13,ERIC-B.ST,SKF-B.ST,1.0,9.519694578290409,0.0019703568066417754,0.0003381559198901955,13.890133179084785,0.0,0.0,0.0,0.0,0,0.0
